"","date_time","P1","P2","P3","P4","P5"
"1","2022-03-23 12:32:44","","","","",""
"2",NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA
